reviewer_name,study_key,year,title,doi,source_record,appraisal_basis,rob_patient_selection,rob_index_test,rob_reference_standard,rob_flow_timing,app_patient_selection,app_index_test,app_reference_standard,rob_patient_selection_note,rob_index_test_note,rob_reference_standard_note,rob_flow_timing_note,app_patient_selection_note,app_index_test_note,app_reference_standard_note
Dat Tat Mai,S001,1995,Detection of degradation of magnetic resonance (MR) images: comparison of an automated MR image-quality analysis system ,10.1016/s1076-6332(05)80184-9,1995 - Detection of degradation of magnetic resonance (MR) images comparison of an automated MR image-quality analysis system w - PMID 9419562.md,abstract + MeSH only,Unclear,Unclear,Low,Unclear,High,High,High,,,,,,,
Dat Tat Mai,S004,2006,Using human and model performance to compare MRI reconstructions,10.1109/tmi.2006.881374,2006 - Using human and model performance to compare MRI reconstructions. - PMID 17117780.md,abstract + MeSH only,High,Unclear,Low,Unclear,High,High,High,,,,,,,
Dat Tat Mai,S005,2013,A new perceptual difference model for diagnostically relevant quantitative image quality evaluation: a preliminary study,10.1016/j.mri.2012.09.009,2013 - A new perceptual difference model for diagnostically relevant quantitative image quality evaluation a preliminary study. - PMID 23218792.md,full text,High,High,High,Low,High,Low,High,,,,,,,
Dat Tat Mai,S006,2015,Artifactual microhemorrhage generated by susceptibility weighted image processing,10.1002/jmri.24728,2015 - Artifactual microhemorrhage generated by susceptibility weighted image processing. - PMID 25143262.md,full text,Unclear,High,High,Low,Low,Low,High,,,,,,,
Dat Tat Mai,S012,2018,A consistency evaluation of signal-to-noise ratio in the quality assessment of human brain magnetic resonance images,10.1186/s12880-018-0256-6,2018 - A consistency evaluation of signal-to-noise ratio in the quality assessment of human brain magnetic resonance images. - PMID 29769079.md,full text,Unclear,Low,High,Low,Low,High,High,,,,,,,
Dat Tat Mai,S017,2019,Accelerated Time-of-Flight Magnetic Resonance Angiography with Sparse Undersampling and Iterative Reconstruction for the,10.3348/kjr.2017.0634,2019 - Accelerated Time-of-Flight Magnetic Resonance Angiography with Sparse Undersampling and Iterative Reconstruction for the - PMID 30672166.md,full text,Unclear,Low,Low,Low,High,Low,Low,,,,,,,
Dat Tat Mai,S020,2019,Compressed Sensing-Sensitivity Encoding (CS-SENSE) Accelerated Brain Imaging: Reduced Scan Time without Reduced Image Qu,10.3174/ajnr.a5905,2019 - Compressed Sensing-Sensitivity Encoding (CS-SENSE) Accelerated Brain Imaging Reduced Scan Time without Reduced Image Qua - PMID 30523142.md,abstract + MeSH only,Unclear,Low,Low,Low,Low,Low,Low,,,,,,,
Dat Tat Mai,S026,2020,Correction of Motion Artifacts Using a Multiscale Fully Convolutional Neural Network,10.3174/ajnr.a6436,2020 - Correction of Motion Artifacts Using a Multiscale Fully Convolutional Neural Network. - PMID 32054615.md,full text,Low,Low,High,Low,Low,High,High,,,,,,,
Dat Tat Mai,S027,2020,Diagnostic quality assessment of IR-prepared 3D magnetic resonance neuroimaging accelerated using compressed sensing and,10.1016/j.mri.2020.08.025,2020 - Diagnostic quality assessment of IR-prepared 3D magnetic resonance neuroimaging accelerated using compressed sensing and - PMID 32890675.md,abstract + MeSH only,High,Low,Low,Unclear,High,Low,Low,,,,,,,
Dat Tat Mai,S034,2021,"Deep Learning Enables 60% Accelerated Volumetric Brain MRI While Preserving Quantitative Performance: A Prospective, Mul",10.3174/ajnr.a7358,"2021 - Deep Learning Enables 60% Accelerated Volumetric Brain MRI While Preserving Quantitative Performance A Prospective, Mult - PMID 34824098.md",abstract + MeSH only,Unclear,Low,Unclear,Low,Low,Low,Low,,,,,,,
