study_key,pmid,year,title,max_acceleration_factor,band,all_factors_reported,n_evidence_matches,evidence_quote_for_max,extraction_pattern
S017,30672166,2019,Accelerated Time-of-Flight Magnetic Resonance Angiography with Sparse Undersampling and Iterative Reconstruction for the Evaluation of Intracranial Ar,5.0,>4--8,2.0; 3.5; 5.0,10,"wed comparable image quality. In addition, when compared with conventional TOF with the same acquisition time, sparse TOF with an acceleration factor of 5 could also achieve higher spatial resolution, better delineation of vessel segments, fewe",accel_factor
S018,31247254,2019,Applications of a deep learning method for anti-aliasing and super-resolution in MRI,2.0,2--4,2.0,1,2020 December 01. Author Manuscript Author Manuscript Author Manuscript Author Manuscript ### Page 6 GRAPPA acceleration factor R = 2. The HR reference image has a segmented centric phase- encoding order with 12 k-space seg,R_equals
S020,30523142,2019,Compressed Sensing-Sensitivity Encoding (CS-SENSE) Accelerated Brain Imaging: Reduced Scan Time without Reduced Image Quality,2.0,2--4,1.3; 2.0,2,roimaging datasets to determine appropriate reconstructions and delineate expected artifacts in these reconstructions; they found 2-fold acceleration to be appropriate with ringing and blurring artifacts the most commonly encountered artif,fold
S023,31045278,2019,Network Accelerated Motion Estimation and Reduction (NAMER): Convolutional neural network guided retrospective motion correction using a separable mot,2.0,2--4,2.0,1,"6.1 s/103 ms, in‐plane field of view = 220 × 220 mm<sup>2</sup> , 4‐mm slices, 448 × 448 × 35 matrix size, 80% phase resolution, R = 2 uniform undersampling, and echo train length (ETL) = 11. A 12s FLASH<sup>28</sup> scan pr",R_equals
S025,31946482,2019,Super-Resolution Diffusion Tensor Imaging using SRCNN: A Feasibility Study,3.0,2--4,3.0,1,"iffusion images were acquired on a Siemens 3T Prisma scanner using a single-shot spin-echo echo- planar imaging with a multiband acceleration factor of 3. The repetition-time (TR) is 4164 ms and the echo-time (TE) is 74.2 ms, 220 mm field of",accel_factor
S027,32890675,2020,Diagnostic quality assessment of IR-prepared 3D magnetic resonance neuroimaging accelerated using compressed sensing and k-space sampling order optimi,3.0,2--4,2.0; 3.0,5,"t three radiologists were combined since they answered the same clinical question. gyrus, temporal gyrus and brainstem up to an acceleration factor of 3 (see Fig. 7). However, at higher acceleration factors (i.e. _R_ = 3.84, 4.13), brain stru",accel_factor
S030,33592248,2021,APIR4EMC: Autocalibrated parallel imaging reconstruction for extended multi-contrast imaging,9.0,>8,6.0; 9.0,17,"ents, 1 mm3 isotropic 3D images with contrasts of T1, T1-Fatsat, T2, PD, and FLAIR were acquired in as little as 7.5 min with the acceleration factor of 9. Reconstruction quality was consistent with the phantom results. CONCLUSION: Compared to",accel_factor
S031,33858820,2021,Acceleration of Brain TOF-MRA with Compressed Sensitivity Encoding: A Multicenter Clinical Study,4.0,2--4,2.0; 4.0,5,quence without acceleration and 2 sequences using the conventional SENSE technique were included for comparison. CS-SENSE with an acceleration factor of 4 could provide bal- anced image quality and acquisition times. Obviously reduced image inf,accel_factor
S040,,2021,Results of the 2020 fastMRI Challenge for Machine Learning MR Image Reconstruction,8.0,>4--8,4.0; 8.0,4,"ge, we observed that although there were many high-quality submissions at 4X, all of the submissions began missing pathology at 8X acceleration [27]. Since this time, 4X machine learning methods have been validated for clinical inte",fold
S044,36240989,2022,A unified model for reconstruction and R2* mapping of accelerated 7T data using the quantitative recurrent inference machine,12.0,>8,2.0; 6.0; 9.0; 12.0,16,"𝟐 in the ROIs: Thalamus (Tha), Red Nucleus (RN), Substantia Nigra (SN), Subthalamic Nucleus (STN), and Striatum (Str) with the acceleration factor of 12. Each bar is centered on the mean over subjects and extends from − 1 to +1 times the std",accel_factor
