study_key,pmid,doi,year,title,study_design,design_detail,appraisal_instrument,appraisal_basis,n_readers,n_subjects,reader_subset_verified,rob_patient_selection,rob_patient_selection_evidence,rob_patient_selection_rationale,rob_index_test,rob_index_test_evidence,rob_index_test_rationale,rob_reference_standard,rob_reference_standard_evidence,rob_reference_standard_rationale,rob_flow_timing,rob_flow_timing_evidence,rob_flow_timing_rationale,app_patient_selection,app_patient_selection_evidence,app_patient_selection_rationale,app_index_test,app_index_test_evidence,app_index_test_rationale,app_reference_standard,app_reference_standard_evidence,app_reference_standard_rationale,repro_code_available,repro_code_evidence,repro_public_dataset,repro_dataset_evidence,repro_benchmark,repro_reference_standard,repro_sampling,repro_centres,repro_sampling_evidence,repro_ethics_stated,rater_status,reviewer_1,reviewer_2,reviewer_3,consensus_note
S001,9419562,10.1016/s1076-6332(05)80184-9,1995,Detection of degradation of magnetic resonance (MR) images: comparison of an automated MR image-quality analysis system with trained human observers,Diagnostic accuracy / reader study,technical validation with reader assessment,QUADAS-2,abstract + MeSH only,,,human reader not ascertainable at appraisal (abstract and MeSH basis); design label retained,Unclear,"Parameters for imaging the test object and normal human volunteers were set to values that decreased the signal-to-noise ratio (SNR), caused distortion, and increased the slice thickness and separation.","Abstract only; volunteers and a test object are mentioned but no sampling rule, number of subjects, or inclusion/exclusion criteria are described.",Unclear,"To evaluate the validity of this assumption, we compared the sensitivity of a test object and automated image analysis system for MR imaging QC with the sensitivity of trained human observers","No statement about whether observers were blinded to which images had been degraded or to the degradation level, and no pre-specified detection threshold is reported.",Low,with the sensitivity of trained human observers by evaluating images that were intentionally degraded,"The ground truth was the experimentally applied degradation, which is known by construction and therefore classifies the target condition (presence/level of degradation) correctly.",Unclear,,"The abstract gives no information on how many images or observers entered the analysis, or whether any data were excluded.",High,"Parameters for imaging the test object and normal human volunteers were set to values that decreased the signal-to-noise ratio (SNR), caused distortion, and increased the slice thickness and separation.","A phantom test object plus normal volunteers, with no clinical brain-MRI patient population, does not match a review question about preserving diagnostic content in patients.",High,Automated analysis of test object images was able to detect all image degradations at the minimum levels applied.,"The index test is deliberate parameter-driven degradation assessed by an automated QC system, not an accelerated or AI-based image reconstruction.",High,Further investigation is needed to better define the accuracy with which quantitative image-quality analysis predicts the effects of degraded image quality on the ability of human observers to detect subtle abnormalities in clinical images.,"The authors explicitly state that the link between image-quality degradation and detection of clinical abnormalities was not established, so the reference does not address diagnostic content.",not stated,,not stated,,,Not stated,not stated,not stated,,not stated,verified,Dat Tat Mai,Thai Viet Pham,Thu Nguyen Thi Dang,"Independently appraised by three reviewers (2026-08-06); independent ratings agreed on all domains, no adjudication required."
S002,,10.1109/42.387716,1995,Using an image database to constrain the acquisition and reconstruction of MR images of the human head,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Expert reader consensus,retrospective,not stated,slated a few pixels in the FE and PE directions so that the head was retrospectively centered in the field of view no matter how the patient was posit,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S003,,10.1109/isspit.2005.1577201,2005,Quality evaluation of fast morphing interpolation model for 3D volume reconstruction,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Expert reader consensus,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S004,17117780,10.1109/tmi.2006.881374,2006,Using human and model performance to compare MRI reconstructions,Diagnostic accuracy / reader study,reader study,QUADAS-2,abstract + MeSH only,,,human reader not ascertainable at appraisal (abstract and MeSH basis); design label retained,High,We measured human and channelized Hotelling observers in a two-alternative forced-choice signal-known-exactly detection task on synthetic MR images.,"No patients were sampled at all; the material is synthetic imagery with inserted signals, an artificial signal-present/signal-absent design analogous to case-control selection.",Unclear,"We compared three reconstructions: magnitude, wavelet-based denoising, and phase-corrected real. Human observers performed approximately equally using all three reconstructions.",Three reconstructions were compared but the abstract does not say whether observers were blinded to which reconstruction they were viewing (only full text available is a mismatched PDF of an unrelated sonar paper).,Low,We measured human and channelized Hotelling observers in a two-alternative forced-choice signal-known-exactly detection task on synthetic MR images.,Signal-known-exactly truth on synthetic images means the reference is correct by construction and independent of the observers' decisions.,Unclear,,"No information on the number of trials, observers, or images entering the analysis, or on any exclusions.",High,We measured human and channelized Hotelling observers in a two-alternative forced-choice signal-known-exactly detection task on synthetic MR images.,Synthetic images with no human subjects and no stated anatomy do not match a review question about brain MRI in patients.,High,"We compared three reconstructions: magnitude, wavelet-based denoising, and phase-corrected real. Human observers performed approximately equally using all three reconstructions.",The reconstructions compared are magnitude/denoising/phase-correction for low-SNR images rather than accelerated or undersampled brain reconstruction.,High,We measured human and channelized Hotelling observers in a two-alternative forced-choice signal-known-exactly detection task on synthetic MR images.,"The ground truth is an inserted synthetic signal, not a fully sampled acquisition or an expert radiological reading of real pathology.",not stated,,not stated,,,Not stated,not stated,not stated,,not stated,verified,Dat Tat Mai,Thai Viet Pham,Thu Nguyen Thi Dang,"Independently appraised by three reviewers (2026-08-06); independent ratings agreed on all domains, no adjudication required."
S005,23218792,10.1016/j.mri.2012.09.009,2013,A new perceptual difference model for diagnostically relevant quantitative image quality evaluation: a preliminary study,Diagnostic accuracy / reader study,technical validation with reader assessment,QUADAS-2,full text,5,1,yes,High,"Three high resolution raw parallel MRI brain data sets (T2-weighted, flip angle = 90°, TR/TE = 3000/85 ms, matrix size 512×512, slice thickness = 20mm, FOV = 205mm×205mm, resolution 0.4mm×0.4mm) were acquired from a healthy volunteer.","The entire image material comes from three planes of a single healthy volunteer, a convenience sample with no selection rule and no patients.",High,Observers were aware that we considered the reference image to be “best” and that they should consider it to have a score of zero,"Observers were explicitly told which panel was the fully sampled reference and which was the reconstructed test image, so ratings of the index reconstruction were made unblinded.",High,"Each human subject presentation consisted of a two-panel display, with the high-quality reference image and a randomly selected test image on the left and right, respectively.","The fully sampled reference was displayed simultaneously in a fixed, identified position, so it was not interpreted independently of the index test.",Low,"Data for CS reconstruction was generated synthetically by randomly under-sampling the two-dimensional reference k-space data, which was obtained from the reference image through Fourier transform, in the phase encoding direction.","All test reconstructions were derived retrospectively from the same reference k-space, so the interval is zero and every test image shares an identical reference standard.",High,"As the current study did not include pathological data, we will continue to study the performance of Artifact-PDM for evaluation of clinical images.","The authors concede that no pathological or clinical data were included, so the sample cannot speak to preservation of diagnostic content in patients.",Low,"A Total Variation (TV) and Wavelet Transform (WT) sparsification based CS reconstruction algorithm15, and the GRAPPA parallel MRI k-space reconstruction algorithm27 were evaluated and compared in this paper.",Compressed sensing and GRAPPA accelerated reconstructions of brain data are exactly the class of index test the review addresses.,High,"Four engineers and one radiologist, aged between 19 and 33 years, participated in the FMT (Eng_1-4 and Rad) and DSCQS (Eng_1-2) experiments as observers.","Ground truth is perceptual quality/artifact-disturbance rating by a panel that is mostly engineers, not a diagnostic reading, so it does not index diagnostic content.",not stated,,not stated,,,Fully sampled acquisition,not stated,not stated,,not stated,verified,Dat Tat Mai,Thai Viet Pham,Thu Nguyen Thi Dang,"Independently appraised by three reviewers (2026-08-06); independent ratings agreed on all domains, no adjudication required."
S006,25143262,10.1002/jmri.24728,2015,Artifactual microhemorrhage generated by susceptibility weighted image processing,Diagnostic accuracy / reader study,technical validation with reader assessment,QUADAS-2,full text,1,28,yes,Unclear,SWI data from 28 traumatic brain injury (TBI) patients was obtained on a 3 tesla clinical Siemens scanner using both the product 3D gradient echo sequence (GRE) with generalized autocalibrating partially parallel acquisition acceleration,A single-centre series of 28 referred TBI patients with no statement that enrolment was consecutive or random and no inclusion/exclusion criteria given.,High,"for the presence or absence of punctate foci of signal loss on the magnitude images, SWI images, and correlated with the presence of singularities at the free ends of OEFs","A single unblinded reader, who is also a study author, scored the accelerated SWI images while explicitly correlating findings with the phase-singularity locations used to define the artifact.",High,"Another limitation is the indirect characterization of the artifactual microhemorrhage. This study relied on comparing phase data using two different methods, i.e. sEPI and GRAPPA-accelerated GRE for obtaining phase data which should be very close.","The authors themselves describe the reference as indirect; absence of a lesion on magnitude/sEPI images is assumed to prove artifact, and the same unblinded reader judged both arms.",Low,"To generate SWI, magnitude and phase images were obtained using both 3D GRE and 3D in-house developed sEPI methods (18) in each patient. Geometric parameters were identical for both sequences","Every patient received both the index and comparator acquisitions in the same session with matched geometry, and all 28 cases are accounted for in the results.",Low,Review of the 28 TBI cases acquired from the Siemens scanner showed that type III OEFs were present in 19 (68%) phase datasets obtained using GRAPPA-accelerated GRE,"Real clinical brain MRI in TBI patients, the population in which accelerated SWI reconstruction safety actually matters.",Low,Acceleration was achieved using GRAPPA×2 for the single echo GRE and an echo train length of 15 for the EPI without GRAPPA.,"The index test is a GRAPPA-accelerated acquisition with vendor SWI reconstruction, directly on point for whether accelerated reconstruction can create false diagnostic findings.",High,"Because the comparable GRE sequence without GRAPPA was prohibitively long (~20 minutes), we were unable to obtain phase information from the identical sequence without GRAPPA.",No fully sampled version of the same sequence was available; the comparator is a different in-house research sequence rather than a fully sampled or standard-of-care acquisition.,not stated,,not stated,,,Expert reader consensus,retrospective,not stated,"are not found on the corresponding magnitude images. In such cases, retrospective inspection of the filtered phase images and even the raw (wrapped)",yes,verified,Dat Tat Mai,Thai Viet Pham,Thu Nguyen Thi Dang,"Independently appraised by three reviewers (2026-08-06); independent ratings agreed on all domains, no adjudication required."
S007,26606457,10.1016/j.media.2015.10.012,2015,Sparse Reconstruction Challenge for diffusion MRI: Validation on a physical phantom to determine which acquisition scheme and analysis method to use?,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,"; 23:S208–S219. [PubMed: 15501092] Sporns O, Tononi G, Kötter R. The human connectome: a structural description of the human brain. PLoS computational bio",human connectome,Stated ground truth (unspecified),not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S008,,10.1109/isbi.2016.7493412,2016,Compressive sensing based Q-space resampling for handling fast bulk motion in hardi acquisitions,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Not stated,both stated,not stated,"otion results in inter-gradient misalignment which can be handled via retrospective motion correction algorithms, fast bulk motion usually affects data",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S009,26714794,10.1002/mrm.26080,2016,Diffusion in realistic biophysical systems can lead to aliasing effects in diffusion spectrum imaging,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,yes,"ge Anal 2011;15:369–396. 10. McNab JA, Edlow BL, Witzel T, et al. The Human Connectome Pro- ject and beyond: initial applications of 300 mT/m gradients. Neu",Human Connectome,Stated ground truth (unspecified),not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S010,26140504,10.1002/mrm.25830,2016,Reverse retrospective motion correction,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Expert reader consensus,both stated,not stated,Reverse retrospective motion correction. PURPOSE: One potential barrier for using prospect,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
