study_key,title,domain,AI rating,verbatim quote,AI rationale,quote verified?,rater
S221,Comprehensive quantitative image quality evaluation of compressed sens,rob_patient_selection,High,"The experiment covered 3 different brain images (transverse, sagittal, and coronal planes)","Only three purposively chosen brain images of unreported origin were evaluated, with no patient enrolment rule of any kind.",yes (exact substring),claude_preliminary
S221,Comprehensive quantitative image quality evaluation of compressed sens,rob_index_test,High,we propose a method to tune PDM so that it can selectively evaluate MR reconstruction artifacts,"Per the review rule the evaluated method is a perceptual quality index (Case-PDM), not reconstruction from undersampled k-space, and blinding of the two non-radiologist raters is not described.",yes (exact substring),claude_preliminary
S221,Comprehensive quantitative image quality evaluation of compressed sens,rob_reference_standard,Low,"by comparing to slower, full k-space, high quality reference images","Fully sampled k-space images of the same data served as the reference, an adequate ground truth for the synthetically degraded and CS-reconstructed test images.",yes (exact substring),claude_preliminary
S221,Comprehensive quantitative image quality evaluation of compressed sens,rob_flow_timing,Low,"In total, 120 test images covering a wide range of image quality were evaluated (40 test images for each of the 3 datasets)",All test images were generated retrospectively from the same reference data and all 120 were evaluated against the same reference.,yes (exact substring),claude_preliminary
S221,Comprehensive quantitative image quality evaluation of compressed sens,app_patient_selection,High,"For 3 brain images (transverse, sagittal, and coronal planes), averaged r values","No clinical population exists - just three brain images of unreported provenance rated by two lay observers, far from clinical brain-MRI practice.",yes (exact substring),claude_preliminary
S221,Comprehensive quantitative image quality evaluation of compressed sens,app_index_test,Low,Test images were reconstructed by a TV-L1 compressed sensing algorithm,"The rated images are compressed-sensing accelerated brain-MRI reconstructions and the study validates an evaluation method for them, matching the review's reconstruction-evaluation scope.",yes (exact substring),claude_preliminary
S221,Comprehensive quantitative image quality evaluation of compressed sens,app_reference_standard,Low,"as compared to slower, full k-space, high quality reference images",Benchmarking against fully sampled acquisitions matches how reconstruction fidelity is referenced in practice.,yes (exact substring),claude_preliminary
S222,Diagnostic quality assessment of compressed sensing accelerated magnet,rob_patient_selection,High,Raw k-space data were acquired from five healthy volunteers on a 3T scanner,"Five purposively recruited healthy volunteers replace any consecutive or random patient sample, giving no clinical spectrum.",yes (exact substring),claude_preliminary
S222,Diagnostic quality assessment of compressed sensing accelerated magnet,rob_index_test,Low,reconstructed images were randomly permuted and presented to the readers for blinded review,Three readers independently scored randomized blinded presentations of genuine undersampled k-space reconstructions using a pre-specified 5-point scale and per-sequence criteria.,yes (exact substring),claude_preliminary
S222,Diagnostic quality assessment of compressed sensing accelerated magnet,rob_reference_standard,Low,"Since the location of each lesion is known, it can be used as the reference for the assessment of diagnostic accuracy for the reconstructed images","Known synthetic-lesion locations give an objective diagnostic reference, and fully sampled reconstructions of the identical k-space data serve as the quality reference.",yes (exact substring),claude_preliminary
S222,Diagnostic quality assessment of compressed sensing accelerated magnet,rob_flow_timing,Low,"k-space data were retrospectively undersampled with sampling schemes appropriate for each of the reconstructions, which permitted implementation and comparison of different reconstructions on each dataset","Every reconstruction came from the same acquisitions so all images shared the same reference, with no case exclusions (only the SPGR side-by-side comparison was dropped for software reasons).",yes (exact substring),claude_preliminary
S222,Diagnostic quality assessment of compressed sensing accelerated magnet,app_patient_selection,High,This study explored the effect of CS reconstruction on specific targets on healthy volunteer images,Healthy volunteers with artificially inserted lesions do not represent the clinical patient population targeted by the review.,yes (exact substring),claude_preliminary
S222,Diagnostic quality assessment of compressed sensing accelerated magnet,app_index_test,Low,CS reconstructions were performed using an iterative stationary wavelet transform (SWT) thresholding algorithm,Combined compressed-sensing and parallel-imaging reconstruction of undersampled neuroimaging k-space directly matches the review's accelerated brain-MRI reconstruction scope.,yes (exact substring),claude_preliminary
S222,Diagnostic quality assessment of compressed sensing accelerated magnet,app_reference_standard,Low,Fully sampled k-space measurements were reconstructed using Roemer’s optimal reconstruction,"A fully sampled optimally coil-combined acquisition is the accepted practice reference, though the diagnostic-accuracy arm relied on synthetic lesion ground truth.",yes (exact substring),claude_preliminary
S225,Deep Learning Enables Reduced Gadolinium Dose for Contrast-Enhanced Br,rob_patient_selection,Unclear,the work is based on a retrospective study. A prospective trial would avoid any possible bias in case selection,"Patients were drawn retrospectively from a perfusion-preload protocol without any stated consecutive or random enrolment rule, a selection-bias risk the authors themselves acknowledge.",yes (exact substring),claude_preliminary
S225,Deep Learning Enables Reduced Gadolinium Dose for Contrast-Enhanced Br,rob_index_test,High,we trained a deep network to take the postprocessed zero-dose precontrast MRI and the 10% low-dose postcontrast CE-MRI as inputs. The output of the model approximates the full-dose postcontrast CE-MRI,"Per the review rule this is image-domain contrast-dose synthesis rather than reconstruction from undersampled k-space, although the two neuroradiologists read blinded and randomized.",yes (exact substring),claude_preliminary
S225,Deep Learning Enables Reduced Gadolinium Dose for Contrast-Enhanced Br,rob_reference_standard,High,the amount of time for contrast uptake was not controlled in our study. The reference 100% contrast dose images in this study are a combination of a delayed 10% predose and standard-delay imaging with the remaining 90% of the dose,"The full-dose reference came from a split-dose protocol with uncontrolled uptake timing and contained motion artifacts, so it may not faithfully represent a standard full-dose exam.",yes (exact substring),claude_preliminary
S225,Deep Learning Enables Reduced Gadolinium Dose for Contrast-Enhanced Br,rob_flow_timing,Low,"the IR-FSPGR sequence was obtained under three conditions: precontrast, postcontrast images with 10% low-dose (0.01mmol/kg) and 100% full-dose (0.1 mmol/kg) of gadobenate dimeglumine",Every patient received all three acquisitions in the same session and all designated test cases were analyzed as planned.,yes (exact substring),claude_preliminary
S225,Deep Learning Enables Reduced Gadolinium Dose for Contrast-Enhanced Br,app_patient_selection,Low,Sixty patients receiving clinically indicated contrast-enhanced brain MRI,Clinically indicated brain-MRI patients with diverse intracranial pathologies match the review's clinical population.,yes (exact substring),claude_preliminary
S225,Deep Learning Enables Reduced Gadolinium Dose for Contrast-Enhanced Br,app_index_test,High,The purpose of this work was to develop and validate a new DL-based technology to reduce GBCA dose levels while maintaining the image quality and contrast information of full-dose contrast images,"Gadolinium dose-reduction synthesis is neither DL nor accelerated reconstruction of undersampled brain-MRI acquisitions, so it only tangentially matches the review question.",yes (exact substring),claude_preliminary
S225,Deep Learning Enables Reduced Gadolinium Dose for Contrast-Enhanced Br,app_reference_standard,Low,Using the true 100% full-dose CE-MRI as the ground truth,True full-dose contrast-enhanced imaging is the clinical standard against which the synthesized images should be judged.,yes (exact substring),claude_preliminary
