study_key,doi,claim,verbatim
S221,10.1117/12.845507,reader study,"ple of almost any age. Medical Imaging 2010: Image Perception, Observer Performance, and Technology Assessment, edited by David J. Manning, Craig K."
S222,10.1002/jmri.25149,reader study,"gradient echo (SPGR) sequences. In a series of blinded studies, three radiologists independently evaluated CS, PI (GRAPPA), and low-resolution imag"
S222,10.1002/jmri.25149,field strength 3T,"ods: Raw k-space data were acquired from five healthy volunteers on a 3T scanner using a 32channel head coil using T2-FLAIR, FIESTA-C, ti"
S223,10.1016/j.mri.2016.11.020,field strength 3T,"by input bSSFP datasets ac-<br>quired from human brain and knee at 3T, which were separately performed for two and four PC angles.<br>"
S224,10.1016/j.mri.2017.07.016,field strength 3T,"so superior to the original BRISQUE in both T1W and T2W images on 3 T, but no significant difference for images on 1.5 T. The result"
S225,10.1002/jmri.25970,reader study,"or the test set comprised of 20 patients with mixed indications, two neuroradiologists scored blindly and independently for the three postcontrast imag"
S225,10.1002/jmri.25970,field strength 3T,"Enhancements Studies were performed on six different 1.5T and 3T MRI scanners (MR750, MR750w, Signa HDx; GE Healthcare, Waukesha, WI)"
S226,10.1007/s00330-019-06319-0,field strength 3T,018) Fast high-resolution brain metabolite mapping on a clinical 3T MRI by accelerated 1HFID-MRSI and low-rank constrained reconstructio
S227,10.1002/mrm.27894,field strength 7T,"diffusion tensor imaging using 2‐D navigated multishot SENSE EPI at 7 T. _Magn Reson Med_ . 2013;69:793–802. 45. Vedaldi A, Lenc K. ed"
S229,10.1109/tmi.2019.2896085,field strength 7T,"e-based characteristics of the cerebellar cortex visualized with ultra-high field MRI,” _Neuroimage_ , vol. 172, pp. 1–8, May 2018. - [12] H. J."
S230,10.1016/j.mri.2020.05.002,field strength 7T,tracking system for motion-corrected magnetic resonance imaging at 7T. Magn Reson Mater Physics Biol Med Dec 2012;25(6):443–53. - [9
S231,10.1109/tmi.2020.2987026,reader study,"For qualitative comparison, a multi-reader study was conducted. 4 radiologists (E.T., D.M., J.C., M.W.) provided independent readings blinded t"
S231,10.1109/tmi.2020.2987026,field strength 3T,"is study was performed in six separate sites using both 1.5T and 3T scanners (MR450w and MR750w, GE, Waukesha, WI, USA). The Institutional R"
S232,10.1002/mrm.28526,field strength 3T,"ata were collected from both healthy subjects and tumor patients on a 3T Siemens Skyra scanner (Munich, Germany), with the approval from"
S236,10.1007/s00234-022-03053-1,reader study,pairwise comparisons. The interobserver agreement between the two radiologists was evaluated using the weighted Cohen kappa ( _κ_ ) test. A _κ_
S237,10.1002/mrm.29314,field strength 7T,"uction were acquired in two slices in the human brain ( _n_ = 6) at 7T. MRSI data were retrospectively undersampled for a 4×, 6×, and 7"
S238,10.1016/j.jmr.2022.107301,field strength 3T,"2w) structural MRI images of healthy adults from a Siemens Skyra 3 T scanner with 32 coils. By ignoring the noise [41], let Y T1 and Y T2 den"
S240,10.1007/s00234-023-03212-y,reader study,"the full width at half maximum (FWHM) of the septum pellucidum. Two radiologists assessed image noise, contrast, artifacts, blur, and the overall"
S240,10.1007/s00234-023-03212-y,field strength 3T,tive analysis was performed on 34 patients who had undergone DWI using a 3 T MRI system with SR-DLR reconstruction based on k-space data in A
