file,pmid,doi,decision,confidence,reason_label,primary_reason,picos_population,picos_intervention,picos_comparator,picos_outcome,picos_study_design,evidence_spans
1975 - An assessment of the accuracy of computerized transverse axial scanning (EMI scanner) in the diagnosis of intracranial t - PMID 1218368.md,1218368,10.1093/brain/98.4.569,exclude,0.94,out_of_scope,"General diagnostic-imaging, morphometry/segmentation/registration, or non-reconstruction study; no AI/ML reconstruction-safety contribution.",Brain-imaging-related but not AI/ML reconstruction of brain MRI.,No AI/ML reconstruction or automated (LLM/causal/counterfactual) safety-evaluation method.,No relevant reconstruction-safety comparator.,"Diagnostic-accuracy or measurement outcomes, not reconstruction-safety failure detection.",Out of scope for reconstruction-safety-evaluation methodology.,An assessment of the accuracy of computerized transverse axial scanning (EMI scanner) in the diagnosis of intracranial tumour. A review of 366 patients.
1977 - Computed tomography of supratentorial meningioma. - PMID 201415.md,201415,10.1016/s0303-8467(78)80003-1,exclude,0.94,out_of_scope,"General diagnostic-imaging, morphometry/segmentation/registration, or non-reconstruction study; no AI/ML reconstruction-safety contribution.",Brain-imaging-related but not AI/ML reconstruction of brain MRI.,No AI/ML reconstruction or automated (LLM/causal/counterfactual) safety-evaluation method.,No relevant reconstruction-safety comparator.,"Diagnostic-accuracy or measurement outcomes, not reconstruction-safety failure detection.",Out of scope for reconstruction-safety-evaluation methodology.,Computed tomography of supratentorial meningioma.
1977 - Vermian pseudotumor a potential pitfall of CT brain scanning with contrast enhancement. - PMID 896029.md,896029,10.1007/bf00347063,exclude,0.94,out_of_scope,"General diagnostic-imaging, morphometry/segmentation/registration, or non-reconstruction study; no AI/ML reconstruction-safety contribution.",Brain-imaging-related but not AI/ML reconstruction of brain MRI.,No AI/ML reconstruction or automated (LLM/causal/counterfactual) safety-evaluation method.,No relevant reconstruction-safety comparator.,"Diagnostic-accuracy or measurement outcomes, not reconstruction-safety failure detection.",Out of scope for reconstruction-safety-evaluation methodology.,Vermian pseudotumor: a potential pitfall of CT brain scanning with contrast enhancement.
1978 - A Computer Assisted Ringdector Positron Camera System for Reconstruction Tomography of the Brain - IEEEXPLORE 4329384.md,,10.1109/tns.1978.4329384,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,A Computer Assisted Ringdector Positron Camera System for Reconstruction Tomography of the Brain
1979 - Normal and high accuracy computed tomography of the brain dose and imaging considerations. - PMID 457962.md,457962,10.1097/00004728-197908000-00011,exclude,0.94,out_of_scope,"General diagnostic-imaging, morphometry/segmentation/registration, or non-reconstruction study; no AI/ML reconstruction-safety contribution.",Brain-imaging-related but not AI/ML reconstruction of brain MRI.,No AI/ML reconstruction or automated (LLM/causal/counterfactual) safety-evaluation method.,No relevant reconstruction-safety comparator.,"Diagnostic-accuracy or measurement outcomes, not reconstruction-safety failure detection.",Out of scope for reconstruction-safety-evaluation methodology.,Normal and high accuracy computed tomography of the brain: dose and imaging considerations.
1982 - Clinical trial of iopamidol for lumbosacral myelography. - PMID 6800240.md,6800240,,exclude,0.95,wrong_population,Non-brain (or animal) imaging/clinical study with no AI/ML brain-MRI-reconstruction relevance.,"Target is a non-brain organ or animal model, outside the AI/ML brain MRI reconstruction scope.",No AI/ML reconstruction or automated safety-evaluation methodology.,No relevant reconstruction-safety comparator.,"Clinical/diagnostic or measurement outcomes, not reconstruction-safety failure detection.",Clinical/technical study outside the review population.,Clinical trial of iopamidol for lumbosacral myelography.
1982 - Three-Dimensional Digital Subtraction Angiography - IEEEXPLORE 4307563.md,,10.1109/tmi.1982.4307563,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,Three-Dimensional Digital Subtraction Angiography
1983 - Data compression in digital angiography using the Fourier transform. - PMID 6656703.md,6656703,10.1118/1.595346,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,Data compression in digital angiography using the Fourier transform.
1984 - Roentgenographic diagnosis of acoustic neurinoma. - PMID 6700344.md,6700344,10.1288/00005537-198403000-00003,exclude,0.94,out_of_scope,"General diagnostic-imaging, morphometry/segmentation/registration, or non-reconstruction study; no AI/ML reconstruction-safety contribution.",Brain-imaging-related but not AI/ML reconstruction of brain MRI.,No AI/ML reconstruction or automated (LLM/causal/counterfactual) safety-evaluation method.,No relevant reconstruction-safety comparator.,"Diagnostic-accuracy or measurement outcomes, not reconstruction-safety failure detection.",Out of scope for reconstruction-safety-evaluation methodology.,Roentgenographic diagnosis of acoustic neurinoma.
1985 - Changing concepts of acoustic neuroma diagnosis. - PMID 3966892.md,3966892,10.1001/archotol.1985.00800030051004,exclude,0.94,out_of_scope,"General diagnostic-imaging, morphometry/segmentation/registration, or non-reconstruction study; no AI/ML reconstruction-safety contribution.",Brain-imaging-related but not AI/ML reconstruction of brain MRI.,No AI/ML reconstruction or automated (LLM/causal/counterfactual) safety-evaluation method.,No relevant reconstruction-safety comparator.,"Diagnostic-accuracy or measurement outcomes, not reconstruction-safety failure detection.",Out of scope for reconstruction-safety-evaluation methodology.,Changing concepts of acoustic neuroma diagnosis.
