row_id,year,title,journal,pmid,doi,sonnet5_decision,opus5_decision,fable5_decision,ai_consensus,recorded_decision,consensus_vs_recorded,unanimous_ai,sonnet5_reason,opus5_reason,fable5_reason
K001,2026,Deep Learning Reconstruction of Diffusion-weighted MRI Enables Shorter Examination Times While Maintaining Image Quality in Head and Neck Imaging.,Clinical neuroradiology,41498976,10.1007/s00062-025-01604-6,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K002,2025,AIBSD: Deep learning approach to address spatial systematic errors in diffusion tensor imaging.,Computer methods and programs in biomedicine,40876083,10.1016/j.cmpb.2025.109034,include,unsure,unsure,unsure,exclude,,no,,,
K003,2024,Image Reconstruction With B0 Inhomogeneity Using a Deep Unrolled Network,,,10.1109/tim.2024.3481545,include,include,include,include,include,AGREE,yes,,,
K004,2022,Distortion-Free Diffusion Imaging Using Self-Navigated Cartesian Echo-Planar Time Resolved Acquisition and Joint Magnitude and Phase Constrained Reconstruction,IEEE Transactions on Medical Imaging,,10.1109/TMI.2021.3104291,unsure,unsure,unsure,unsure,exclude,,yes,,,
K005,2018,Autofocusing-based phase correction,,,10.1002/mrm.27092,unsure,unsure,unsure,unsure,exclude,,yes,,,
K006,2024,Clinical Evaluation of a 2-Minute Ultrafast Brain MR Protocol for Evaluation of Acute Pathology in the Emergency and Inpatient Settings,American Journal of Neuroradiology,,10.3174/ajnr.a8143,unsure,unsure,unsure,unsure,include,,yes,,,
K007,2024,Towards retrospective motion correction and reconstruction for clinical 3D brain MRI protocols with a reference contrast.,"Magma (New York, N.Y.)",38758490,10.1007/s10334-024-01161-y,include,include,include,include,include,AGREE,yes,,,
K008,2019,Magnetic resonance cholangiopancreatography using optimized integrated combination with parallel imaging and compressed sensing technique.,Abdominal radiology (New York),30659308,10.1007/s00261-018-01886-0,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K009,2025,Practical signal-to-noise ratio mapping using single clinical scan,,,10.1007/s12194-025-00944-9,include,include,include,include,exclude,DISAGREE,yes,,,
K010,2015,Sparse Reconstruction Challenge for diffusion MRI: Validation on a physical phantom to determine which acquisition scheme and analysis method to use?,Medical image analysis,26606457,10.1016/j.media.2015.10.012,exclude,exclude,exclude,exclude,include,DISAGREE,yes,wrong_population,wrong_population,wrong_population
K011,2022,Deep learning reconstruction for 1.5 T cervical spine MRI,,,10.1007/s00330-022-08729-z,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K012,2025,3D Isotropic High-Resolution Fetal Brain MRI Reconstruction From Motion Corrupted Thick Data,IEEE Journal of Biomedical and Health Informatics,,10.1109/jbhi.2025.3586049,include,include,include,include,include,AGREE,yes,,,
K013,2018,True constructive interference in the steady state (trueCISS).,Magnetic resonance in medicine,28736917,10.1002/mrm.26836,include,include,include,include,exclude,DISAGREE,yes,,,
K014,2024,Highly accelerated multi-shot intravoxel incoherent motion diffusion-weighted imaging in brain enabled by parametric POCS-based multiplexed sensitivity encoding.,NMR in biomedicine,37871617,10.1002/nbm.5063,include,include,include,include,exclude,DISAGREE,yes,,,
K015,2026,PET Head Motion Estimation Using Supervised Deep Learning With Attention.,IEEE transactions on medical imaging,41082441,10.1109/TMI.2025.3620714,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K016,2021,Implementation and Image Quality Benefit of a Hybrid-Space PET Point Spread,,,10.1109/nss/mic44867.2021.9875877,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K017,2019,PEC-GRAPPA reconstruction of simultaneous multislice EPI with slice-dependent 2D Nyquist ghost correction,,,10.1002/mrm.27546,include,include,include,include,exclude,DISAGREE,yes,,,
K018,2021,A Generalized Linear modeling approach to bootstrapping multi-frame PET image data.,Medical image analysis,34186431,10.1016/j.media.2021.102132,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
